,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,The Lotts Café Bar,53.3473641,-6.2633612,€5.20,James Bingham,7/12/2017,James Bingham,7/12/2017,,1,,,,,,,,,,,,
,Mulligan's,53.3469472,-6.2555616,€5.20,Emmet Sheerin,08/09/2017,Simon Corbett,9/12/2017,,,,1,,1,,,,,1,,,
,The Grand Social,53.3468527,-6.2635291,€5.20,James Bingham,14/09/2017,James Bingham,14/09/2017,,1,,,,,,,,,,,,
,The Long Stone,53.3460494,-6.2556844,€5.20,Colin O'Callaghan,17/11/2017,Colin O'Callaghan,17/11/2017,,,,1,,,,,,,,,,
,The Palace Bar,53.345904,-6.2596276,€5.20,Robbie Mc Guinness,17/08/2017,James Bingham,9/12/2017,1,1,,,,,,,,,,,,
,Bowes,53.3457927,-6.2579377,€5.20,Robbie Mc Guinness,16/09/2017,Emmet Sheerin,18/11/2017,1,,,,,1,,,,,,,,
,Doyle's,53.345781,-6.2575681,€5.20,Emmet Sheerin,30/09/2017,Katie O'Neill,12/12/2017,,,,,,1,3,,,,,,,
,Bison bar,53.3453508,-6.2667024,€5.20,Robbie Mc Guinness,23/09/2017,Robbie Mc Guinness,23/09/2017,1,,,,,,,,,,,,,
,The Workman's Club,53.3453414,-6.2668315,€5.20,Robbie Mc Guinness,23/09/2017,Robbie Mc Guinness,23/09/2017,1,,,,,,,,,,,,,
,The Garage Bar,53.3451402,-6.2662914,€5.20,Daniel Purdy,20/09/2017,Daniel Purdy,20/09/2017,,,1,,,,,,,,,,,
,Roberta's Bar and Restaurant,53.345105,-6.267169,€5.20,James Bingham,17/11/2017,James Bingham,17/11/2017,,1,,,,,,,,,,,,
,O'Neill's of Pearse Street,53.3449067,-6.2524214,€5.20,Emmet Sheerin,03/11/2017,Matthias Kremer,14/12/2017,,,,,,1,,,,,,,,1
,The Stag's Head,53.3438138,-6.2635738,€5.20,Robbie Mc Guinness,16/9/2017,Robbie Mc Guinness,16/9/2017,1,,,,,,,,,,,,,
,O'Donoghues,53.343437,-6.2597401,€5.20,Daniel Purdy,15/9/2017,Shane Harding,10/11/2017,,,1,,,,,,1,,,,,
,The Globe,53.3433784,-6.2642836,€5.20,Katie O'Neill,08/12/2017,Katie O'Neill,08/12/2017,1,1,,,,1,2,,,,,,,
,The Library Bar,53.3430838,-6.2641396,€5.20,Katie O'Neill,05/11/2017,Katie O'Neill,05/11/2017,,,,,,,,,,,,,,
,Kennedys,53.3422259,-6.2507991,€5.20,Robbie Mc Guinness,20/08/2017,Colin O'Callaghan,20/10/2017,1,,,2,,,,,,,,,,
,Idlewild,53.342105,-6.264109,€5.20,Katie O'Neill,11/11/2017,Katie O'Neill,11/11/2017,,,,,,,1,,,,,,,
,The Duke (Gilligan's),53.3419794,-6.2586728,€5.20,Daniel Purdy,16/9/17,Daniel Purdy,16/09/2017,1,,1,,,,,,,,,,,
,The Secret Bar / The Bar With No Name,53.3418854,-6.2641559,€5.20,Shane Harding,03/11/2017,Shane Harding,03/11/2017,1,1,,,,,,,1,,,,,
,The Gingerman,53.3418488,-6.2495572,€5.20,Daniel Purdy,13/09/2017,Colin O'Callaghan,14/09/2017,1,,1,1,,,,,,,,,,
